,Unnamed: 0,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count
126,126,963016872891315551,Rental unit in Dublin 1 · 1 bedroom · 1 bed · 1 bath,35483886,Dublin City,53.34836,-6.2288,Private room,63.0,30,0,5
127,127,44370471,Rental unit in Dublin · ★4.88 · 2 bedrooms · 3 beds · 1 bath,33755976,Dn Laoghaire-Rathdown,53.30313,-6.23645,Entire home/apt,200.0,5,16,1
128,128,4492472,Home in Dublin · ★4.56 · 1 bedroom · 1 bed · 1 shared bath,23303300,Dublin City,53.33534,-6.28121,Private room,78.0,2,27,2
129,129,938209122439717387,Townhouse in Dublin 4 · ★4.92 · 1 bedroom · 1 bed · 1 private bath,46541127,Dublin City,53.34302143309212,-6.226590286631545,Private room,76.0,1,39,2
130,130,1010815998369319995,Condo in Dublin 7 · ★New · 1 bedroom · 1 bed · 1 bath,483024454,Dublin City,53.347134109440944,-6.275077775764098,Entire home/apt,113.0,3,0,51
131,131,701252217180865146,Home in Swords · ★4.61 · 1 bedroom · 1 bed · 1 shared bath,20827905,Fingal,53.4705023,-6.231066999999999,Private room,72.0,2,28,1
132,132,861497065030517215,Rental unit in Dublin 1 · 1 bedroom · 1 bed · 1 bath,505329584,Dublin City,53.35532397788533,-6.255479614388646,Entire home/apt,87.0,28,1,11
133,133,1033291787749905898,Rental unit in Dublin 9 · ★New · Studio · 4 beds · 1 shared bath,542751309,Fingal,53.4006,-6.25964,Shared room,28.0,7,0,7
134,134,726011,Rental unit in Skerries · ★4.91 · 1 bedroom · 2 beds · 1.5 baths,3755932,Fingal,53.58175,-6.1226,Entire home/apt,123.0,3,201,1
135,135,5696906,Home in Ranelagh · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,6782586,Dublin City,53.32498,-6.25387,Private room,66.0,3,240,2
136,136,51031366,Condo in Dublin 8 · ★4.54 · Studio · 2 beds · 1 bath,77853226,Dublin City,53.34214,-6.27831,Entire home/apt,60.0,1,201,7
137,137,693310061575627358,Home in Dublin 4 · ★4.74 · 2 bedrooms · 2 beds · 2 baths,65609429,Dublin City,53.33461,-6.21616,Entire home/apt,250.0,2,19,1
138,138,1029419607983239457,Rental unit in Dublin · ★New · 1 bedroom · 5 beds · 2 shared baths,543634729,Dublin City,53.39894761436693,-6.25996680657956,Shared room,24.0,30,0,8
139,139,943079035830121448,Rental unit in Dublin 10 · ★4.55 · 2 bedrooms · 3 beds · 1.5 baths,527629512,Dublin City,53.336610572436285,-6.381667845248278,Entire home/apt,240.0,7,11,1
140,140,916699153326944466,Home in Swords · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,520696735,Fingal,53.45002,-6.24598,Private room,90.0,1,3,1
141,141,812907412342622236,Rental unit in Dublin 1 · ★4.70 · 1 bedroom · 1 bed · 1 bath,81213922,Dublin City,53.35301158015013,-6.249892937064561,Entire home/apt,255.0,1,10,1
142,142,27959184,Home in Dublin 8 · ★4.48 · 1 bedroom · 1 bed · 1.5 baths,200406218,Dublin City,53.33738,-6.268,Private room,89.0,1,332,3
143,143,933410098480221759,Rental unit in Dublin 8 · 1 bedroom · 1 bed · 1 bath,525114817,Dublin City,53.33233,-6.34597,Entire home/apt,156.0,7,0,1
