,Unnamed: 0,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,Listing ownership
106,106,2614726,Rental unit in Drumcondra · ★4.50 · 1 bedroom · 1 bed · 2 baths,13013536,Dublin City,53.36343,-6.24903,Private room,110,1,6,1,Single property
107,107,2620389,Condo in Dublin · ★4.17 · 1 bedroom · 1 bed · 1 shared bath,12076665,Dublin City,53.35186,-6.27579,Shared room,38,1,6,1,Single property
108,108,2635493,Home in Donnybrook · 3 bedrooms · 4 beds · 2 baths,67159,Dublin City,53.31822,-6.23711,Entire home/apt,200,1,1,1,Single property
109,109,2647405,Rental unit in Dublin · ★4.61 · 1 bedroom · 1 bed · 1 private bath,9924228,Dublin City,53.33974,-6.23378,Private room,65,2,70,1,Single property
110,110,2671586,Home in Santry · 3 bedrooms · 3 beds · 2 baths,13675875,Dublin City,53.38946,-6.24341,Entire home/apt,97,7,1,1,Single property
111,111,2685349,Rental unit in Ballsbridge · ★4.87 · 3 bedrooms · 5 beds · 2 baths,13736584,Dublin City,53.33408,-6.23764,Entire home/apt,290,2,106,2,Multiple properties
112,112,2686112,Rental unit in Dublin · ★4.58 · 1 bedroom · 1 bed · 2 baths,13748399,Dublin City,53.35322,-6.26188,Private room,150,3,75,1,Single property
113,113,2691951,Guest suite in Blackrock · ★4.96 · 2 bedrooms · 2 beds · 1 bath,11437558,Dn Laoghaire-Rathdown,53.31019,-6.20477,Entire home/apt,250,2,95,1,Single property
114,114,2703497,Home in Dublin · ★5.0 · 2 bedrooms · 1 bed · 1 bath,13811619,Dn Laoghaire-Rathdown,53.29444,-6.14328,Entire home/apt,350,2,3,1,Single property
115,115,2719863,Rental unit in Dublin · ★4.33 · 2 bedrooms · 1 bed · 1 shared bath,9333782,Dublin City,53.34403,-6.2766,Private room,73,2,3,1,Single property
116,116,2734096,Rental unit in Dublin · ★4.91 · 1 bedroom · 1 bed · 1 private bath,11211199,Dublin City,53.34374,-6.23594,Private room,210,3,24,1,Single property
117,117,2754860,Home in Garristown · ★5.0 · 6 bedrooms · 9 beds · 4 baths,14091285,Fingal,53.56748,-6.38298,Entire home/apt,350,7,7,1,Single property
118,118,2760521,Rental unit in Dublin · ★4.67 · 1 bedroom · 1 bed · 1.5 baths,3846772,Dublin City,53.346,-6.23933,Entire home/apt,77,28,6,19,Excessive properties
119,119,2770813,Home in Clontarf · ★4.67 · 1 bedroom · 2 beds · 1.5 shared baths,14169546,Dublin City,53.36417,-6.18684,Private room,138,1,143,4,Multiple properties
120,120,2778697,Home in Glasnevin · ★4.89 · 1 bedroom · 1 bed · 1 private bath,14211400,Dublin City,53.36723,-6.26862,Private room,85,62,116,1,Single property
121,121,2791857,Townhouse in Santry · ★4.94 · 1 bedroom · 1 bed · 1.5 baths,12173057,Dublin City,53.38903,-6.24719,Private room,71,2,248,2,Multiple properties
122,122,2795703,Rental unit in Dublin · ★4.85 · 2 bedrooms · 2 beds · 2 baths,11170895,Dublin City,53.34903,-6.29431,Entire home/apt,158,2,49,1,Single property
123,123,2832333,Townhouse in Dublin · ★4.91 · 3 bedrooms · 3 beds · 1.5 baths,13430588,Dublin City,53.33008,-6.27272,Entire home/apt,333,6,183,2,Multiple properties
124,124,2842414,Home in Dublin 7 · ★3.33 · 3 bedrooms · 3 beds · 1 bath,14538019,Dublin City,53.36536,-6.29111,Entire home/apt,65,2,6,1,Single property
125,125,2842486,Rental unit in Dublin · ★4.34 · 1 bedroom · 1 bed · 1 bath,7002908,Dublin City,53.33776,-6.30401,Entire home/apt,110,7,139,1,Single property
126,126,2850155,Home in Dublin · 3 bedrooms · 3 beds · 2.5 baths,14413720,Dn Laoghaire-Rathdown,53.28346,-6.13591,Entire home/apt,300,10,1,2,Multiple properties
127,127,2862881,Rental unit in Dublin  · ★4.85 · 1 bedroom · 1 bed · 1 bath,14633294,Dublin City,53.34051,-6.25699,Entire home/apt,270,3,47,3,Multiple properties
128,128,2873250,Townhouse in Dublin 3 · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,7894251,Dublin City,53.35951,-6.24626,Private room,51,2,6,1,Single property
129,129,2874272,Rental unit in Dublin 7 · ★4.59 · 2 bedrooms · 1 bed · 1 bath,1557844,Dublin City,53.35685,-6.29078,Entire home/apt,86,2,164,8,Multiple properties
130,130,2884501,Home in Dublin · 4 bedrooms · 5 beds · 2.5 baths,13405254,Dn Laoghaire-Rathdown,53.22795,-6.12048,Entire home/apt,125,2,0,1,Single property
131,131,2885736,Home in Glasnevin · ★4.83 · 4 bedrooms · 6 beds · 1 bath,12503955,Dublin City,53.36499,-6.26467,Entire home/apt,180,5,6,1,Single property
132,132,2891101,Townhouse in Dublin · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,13490423,Dublin City,53.329,-6.28211,Private room,85,4,122,1,Single property
133,133,2962455,Home in Dublin · 1 bedroom · 1 bed · 1 bath,12756248,Dublin City,53.35401,-6.29446,Private room,110,1,0,1,Single property
134,134,2985355,Home in Baldoyle · ★4.53 · 1 bedroom · 4 beds · 1 private bath,15222813,Fingal,53.39251,-6.14205,Private room,1000,100,47,1,Single property
135,135,2986327,Rental unit in Santry · ★4.73 · 1 bedroom · 2 beds · 1 shared bath,11047034,Dublin City,53.39575,-6.26371,Private room,100,1,55,2,Multiple properties
136,136,3009793,Rental unit in Dublin · ★4.50 · Studio · 1 bed · 1 bath,790601,Dublin City,53.33761,-6.32431,Entire home/apt,239,5,35,5,Multiple properties
137,137,3012532,Condo in Rush · ★4.83 · 2 bedrooms · 4 beds · 1 bath,15351872,Fingal,53.52738,-6.08674,Entire home/apt,155,2,150,5,Multiple properties
138,138,3031518,Home in Clontarf · ★4.60 · 1 bedroom · 1 bed · 1.5 shared baths,14169546,Dublin City,53.36238,-6.18458,Private room,134,1,82,4,Multiple properties
139,139,3042183,Home in Clontarf · ★4.82 · 1 bedroom · 1 bed · 1.5 shared baths,14169546,Dublin City,53.36297,-6.18643,Private room,126,1,56,4,Multiple properties
140,140,3042237,Bed and breakfast in Clontarf · ★4.82 · 1 bedroom · 1 bed · 1.5 shared baths,14169546,Dublin City,53.3628,-6.18427,Private room,78,1,69,4,Multiple properties
141,141,3048852,Rental unit in Dublin · ★4.82 · 2 bedrooms · 1 bed · 1 shared bath,12990935,Dublin City,53.3479,-6.26122,Private room,63,30,82,1,Single property
142,142,3096382,Townhouse in Dublin 2 · ★4.75 · 2 bedrooms · 3 beds · 1 bath,15369809,Dublin City,53.34525,-6.26582,Entire home/apt,303,4,269,3,Multiple properties
143,143,3137058,Townhouse in Rialto · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,12000497,Dublin City,53.33208,-6.29582,Private room,97,3,111,1,Single property
144,144,3180314,Home in Dublin · ★4.50 · 3 bedrooms · 4 beds · 1 bath,2130281,Dublin City,53.33452,-6.27705,Entire home/apt,180,6,6,1,Single property
145,145,3188621,Condo in Dublin · ★4.49 · 1 bedroom · 1 bed · 1.5 shared baths,16158874,Dublin City,53.34213,-6.28813,Private room,99,5,185,2,Multiple properties
146,146,3221575,Rental unit in Portmarnock · ★4.58 · 2 bedrooms · 2 beds · 2 baths,16314024,Fingal,53.4187,-6.14568,Entire home/apt,88,1,31,1,Single property
147,147,3226975,Home in Dublin City · ★3.75 · 2 bedrooms · 2 beds · 1 bath,16327240,Dublin City,53.35269,-6.29078,Entire home/apt,70,3,6,1,Single property
148,148,3253976,Rental unit in Dublin · ★4.92 · 2 bedrooms · 1 bed · 1 shared bath,16457796,Dublin City,53.34347,-6.26251,Private room,120,1,78,1,Single property
149,149,3260995,Home in Drumcondra · 2 bedrooms · 4 beds · 1.5 baths,16435924,Dublin City,53.37431,-6.24123,Entire home/apt,130,7,2,1,Single property
